Товар,Поставщик,Цена,Количество,Единица,Цена за кг/л,Рейтинг
Молоко,Простоквашино,142.0,970,мл,146.39,4.6
RIOBA,Молоко,118.0,1,л,118.0,4.8
Молоко,Neo,179.0,950,г,188.42,
Молоко,Parmalat,179.0,1,л,179.0,4.6
Молоко,Parmalat,146.0,1,л,146.0,4.7
Молоко,Эконива,110.0,1,л,110.0,4.6
Молоко,Славянские,88.0,973,мл,90.44,
Молоко,Эконива,110.0,1,л,110.0,4.8
Молоко,Брянский,109.0,975,мл,111.79,4.5
Молоко,Parmalat,147.0,1,л,147.0,4.9
Молоко,Простоквашино,109.0,930,мл,117.2,4.8
Молоко,Домик,127.0,950,г,133.68,
Молоко,Домик,117.0,950,г,123.16,5.0
Молоко,Эконива,109.0,1,л,109.0,
Молоко,Простоквашино,159.0,970,мл,163.92,5.0
RIOBA,Молоко,106.0,1,л,106.0,4.7
Молоко,Viola,182.0,973,мл,187.05,4.0
Молоко,Домик,205.0,950,г,215.79,4.7
Молоко,Parmalat,186.0,1,л,186.0,4.3
Молоко,Эконива,109.0,1,л,109.0,5.0
Молоко,Viola,192.0,973,мл,197.33,4.6
Молоко,Брянский,132.0,975,мл,135.38,4.6
Молоко,Простоквашино,149.0,950,мл,156.84,
Молоко,Му-у,112.0,925,мл,121.08,5.0
Молоко,Parmalat,195.0,1,л,195.0,
Молоко,Домик,172.0,1,л,172.0,4.3
Молоко,Белый,159.0,1,л,159.0,
Молоко,Простоквашино,90.0,930,мл,96.77,4.7
Молоко,Parmalat,162.0,1,л,162.0,4.7
Молоко,Домик,149.0,925,мл,161.08,4.1
Молоко,Правильное,255.0,2,л,127.5,4.6
Молоко,Эконива,106.0,1,л,106.0,4.8
Молоко,Вкуснотеево,135.0,900,г,150.0,5.0
Молоко,Parmalat,197.0,1,л,197.0,4.4
Молоко,Lactica,57.0,200,мл,285.0,5.0
Молоко,Домик,103.0,930,мл,110.75,4.3
Молоко,Viola,152.0,973,мл,156.22,5.0
Молоко,Простоквашино,158.0,1,л,158.0,5.0
Молоко,Viola,172.0,973,мл,176.77,
Молоко,Домик,117.0,930,мл,125.81,5.0
Молоко,Домик,139.0,950,г,146.32,
Молоко,Простоквашино,86.0,930,мл,92.47,5.0
Молоко,Домик,223.0,1,л,223.0,5.0
Молоко,Вкуснотеево,133.0,900,г,147.78,4.5
Молоко,Искренне,79.0,930,г,84.95,5.0
Молоко,Parmalat,70.0,200,мл,350.0,5.0
Молоко,Parmalat,193.0,900,мл,214.44,4.5
Молоко,Простоквашино,146.0,950,мл,153.68,5.0
Молоко,Parmalat,58.0,200,мл,290.0,5.0
Молоко,Петмол,131.0,970,мл,135.05,
Молоко,Эконива,146.0,1,л,146.0,4.0
Молоко,Parmalat,177.0,1,л,177.0,5.0
Молоко,Parmalat,55.0,200,мл,275.0,5.0
Молоко,Parmalat,115.0,500,мл,230.0,
Молоко,Эконива,131.0,1,л,131.0,5.0
Молоко,Parmalat,174.0,900,мл,193.33,
Молоко,Петмол,149.0,1,л,149.0,
Молоко,Дар,121.0,200,мл,605.0,5.0
Молоко,Parmalat,2124.0,12,шт,177.0,
